File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 13:02:49 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
0.17,1.27,0.71,30.8,1.043
0.29,1.1,0.62,30.6,1.033
0.22,0.97,0.48,30.8,1.037
0.21,1.02,0.54,30.8,1.037
0.17,1,0.51,30.8,1.037
0.17,0.96,0.5,30.8,1.037
0.19,0.89,0.51,30.8,1.03
0.19,1.05,0.65,30.8,1.034
0.27,1.19,0.56,30.8,1.034
0.05,1.4,0.52,30.8,1.03
-0.07,1.11,-0.04,30.8,1.027
-0.1,0.71,-0.39,30.8,1.027
-0.19,0.59,-0.5,30.8,1.024
-0.23,0.73,-0.49,30.8,1.018
-0.23,0.87,-0.38,30.8,1.018
-0.31,0.69,-0.31,30.8,1.018
-0.45,0.44,-0.27,30.8,1.018
-0.41,0.26,-0.18,30.8,1.018
-0.44,0.09,0,30.8,1.02
-0.62,0.07,-0.12,30.8,1.02
-0.97,0.05,-0.43,30.8,1.018
-0.06,0.04,-0.32,30.8,1.024
0.4,0.63,-0.2,30.8,1.018
-0.05,1.5,-0.45,30.8,1.018
-0.01,2.08,0.96,30.8,1.006
0.11,1.09,1.15,30.8,1
0.32,1.15,1.4,30.8,1
0.39,0.72,0.61,30.8,0.969
0.45,0.91,0.65,30.8,0.922
0.4,0.75,0.73,30.8,0.916
0.26,0.51,0.53,30.8,0.916
0.22,0.71,0.47,30.8,0.908
0.35,0.71,0.27,30.8,0.87
0.68,0.75,0.57,30.8,0.832
0.64,0.6,0.65,30.8,0.797
1.08,0.86,0.5,30.8,0.768
1.02,0.76,0.85,30.8,0.755
0.69,0.28,0.51,30.8,0.758
0.73,0.52,0.3,30.8,0.808
0.71,0.72,0.1,30.8,0.843
0.59,0.52,0.23,30.8,0.854
0.69,0.52,0.22,30.8,0.868
0.81,0.44,0.24,30.8,0.89
0.94,0.53,0.38,30.8,0.905
0.97,0.5,0.45,30.8,0.916
0.98,0.67,0.59,30.8,0.928
1.1,0.7,0.46,30.8,0.934
1,0.69,0.4,30.8,0.934
0.64,0.72,0.32,30.8,0.937
0.39,0.52,0.41,30.8,0.937
0.42,0.55,0.42,30.8,0.934
0.51,0.61,0.48,30.8,0.937
0.65,0.63,0.69,30.8,0.942
0.75,0.62,0.67,30.8,0.943
0.78,0.59,0.75,30.8,0.954
0.69,0.35,0.61,30.8,0.954
0.73,0.6,0.52,30.8,0.963
0.78,0.57,0.56,30.8,0.963
0.67,0.42,0.66,30.8,0.969
0.71,0.44,0.67,30.8,0.978
0.69,0.5,0.67,30.8,0.981
0.69,0.45,0.77,30.8,0.987
0.77,0.55,0.66,30.8,0.99
0.71,0.36,0.61,30.8,0.996
0.59,0.64,0.54,30.8,1
0.68,0.55,0.58,30.8,1.006
0.76,0.32,0.76,30.8,1.018
0.75,0.37,0.69,30.8,1.027
0.72,0.47,0.84,30.8,1.043
0.69,0.45,0.8,30.8,1.052
0.72,0.33,0.77,30.8,1.072
0.76,0.27,0.71,30.8,1.081
0.77,0.33,0.62,30.8,1.094
0.74,0.45,0.63,30.8,1.097
0.74,0.46,0.68,30.8,1.104
0.71,0.4,0.76,30.8,1.11
0.66,0.37,0.78,30.8,1.12
0.72,0.43,0.7,30.8,1.13
0.79,0.36,0.71,30.8,1.13
0.76,0.3,0.7,30.8,1.144
0.81,0.44,0.75,30.8,1.154
0.78,0.35,0.74,30.8,1.154
0.86,0.22,0.58,30.8,1.154
0.77,0.36,0.57,30.8,1.154
0.66,0.67,0.77,30.8,1.161
0.52,0.43,0.75,30.8,1.157
0.76,0.36,0.64,30.8,1.185
0.84,0.24,0.65,30.8,1.195
0.84,0.28,0.63,30.8,1.202
0.72,0.27,0.59,30.8,1.202
0.8,0.54,0.69,30.8,1.195
0.8,0.32,0.76,30.8,1.191
0.8,0.34,0.59,30.8,1.195
0.79,0.37,0.6,30.8,1.195
0.79,0.37,0.62,30.8,1.185
0.79,0.39,0.63,30.8,1.181
0.81,0.37,0.6,30.8,1.181
0.82,0.38,0.59,30.8,1.188
0.81,0.37,0.6,30.8,1.185
0.8,0.35,0.6,30.8,1.181
0.8,0.41,0.66,30.8,1.181
0.73,0.58,0.72,30.8,1.177
0.77,0.27,0.48,30.8,1.185
0.83,0.3,0.59,30.8,1.177
0.82,0.33,0.65,30.8,1.174
0.79,0.32,0.63,30.8,1.171
0.77,0.41,0.61,30.8,1.181
0.79,0.34,0.62,30.8,1.181
0.81,0.38,0.62,30.8,1.185
0.78,0.4,0.6,30.8,1.185
0.79,0.37,0.61,30.8,1.174
0.8,0.39,0.63,30.8,1.171
0.8,0.37,0.61,30.8,1.171
0.8,0.35,0.63,30.8,1.164
0.8,0.33,0.63,30.8,1.161
0.81,0.39,0.63,30.8,1.154
0.79,0.34,0.61,30.8,1.154
0.8,0.32,0.6,30.8,1.154
0.81,0.29,0.61,30.8,1.15
0.82,0.29,0.6,30.8,1.154
0.8,0.33,0.59,30.6,1.154
0.79,0.33,0.63,30.8,1.154
0.8,0.31,0.62,30.8,1.154
0.82,0.33,0.64,30.8,1.151
0.81,0.35,0.68,30.8,1.154
0.81,0.32,0.64,30.8,1.154
0.81,0.34,0.64,30.8,1.154
0.8,0.32,0.65,30.8,1.154
0.79,0.35,0.68,30.8,1.157
0.79,0.31,0.69,30.8,1.157
0.78,0.34,0.67,30.8,1.161
0.76,0.37,0.66,30.8,1.16
0.78,0.36,0.6,30.8,1.167
0.81,0.31,0.6,30.8,1.167
0.84,0.32,0.58,30.8,1.17
0.81,0.38,0.49,30.8,1.177
0.85,0.35,0.48,30.8,1.174
0.89,0.38,0.39,30.8,1.185
0.92,0.27,0.42,30.8,1.185
0.9,0.26,0.44,30.8,1.185
0.91,0.27,0.5,30.8,1.185
0.91,0.32,0.4,30.8,1.188
0.84,0.32,0.4,30.8,1.195
0.86,0.35,0.35,30.8,1.191
0.87,0.36,0.4,30.8,1.195
0.87,0.41,0.37,30.8,1.195
0.88,0.33,0.38,30.8,1.195
0.84,0.31,0.4,30.8,1.191
0.88,0.45,0.39,30.8,1.195
0.89,0.35,0.48,30.8,1.195
0.9,0.36,0.45,30.8,1.195
0.87,0.37,0.41,30.8,1.195
0.9,0.32,0.41,30.8,1.192
0.9,0.34,0.39,30.8,1.192
0.88,0.31,0.43,30.8,1.192
0.88,0.31,0.47,30.8,1.181
0.89,0.32,0.43,30.8,1.185
0.86,0.32,0.44,30.8,1.185
0.88,0.33,0.46,30.8,1.185
0.86,0.32,0.45,30.8,1.185
0.87,0.31,0.46,30.8,1.185
0.89,0.29,0.46,30.8,1.174
0.89,0.3,0.44,30.8,1.174
0.88,0.31,0.42,30.8,1.174
0.89,0.33,0.4,30.8,1.17
0.86,0.31,0.47,30.8,1.174
0.86,0.26,0.48,30.8,1.174
0.91,0.4,0.47,30.8,1.171
0.89,0.42,0.56,30.8,1.171
0.97,0.56,0.57,30.8,1.171
0.82,0.59,0.8,30.8,1.167
0.68,0.5,0.77,30.8,1.171
0.49,0.73,0.66,30.8,1.171
0.35,0.84,0.47,30.8,1.171
0.29,0.86,0.46,30.8,1.171
0.29,0.65,0.55,30.8,1.16
0.32,0.72,0.52,30.8,1.164
0.41,0.78,0.6,30.8,1.16
0.4,0.91,0.67,30.8,1.157
0.31,0.95,0.65,30.8,1.161
0.23,0.95,0.59,30.8,1.161
0.2,0.92,0.51,30.8,1.157
0.23,0.87,0.5,30.8,1.157
0.29,0.91,0.49,30.8,1.161
0.35,0.91,0.5,30.8,1.161
0.34,0.88,0.55,30.8,1.157
0.3,0.8,0.57,30.8,1.154
0.25,0.79,0.58,30.8,1.154
0.28,0.85,0.6,30.8,1.154
0.34,0.95,0.63,30.8,1.15
0.34,0.9,0.63,30.8,1.154
0.29,0.82,0.64,30.8,1.154
0.29,0.83,0.64,30.8,1.154
0.26,0.84,0.67,30.8,1.151
0.26,0.87,0.68,30.8,1.154
0.25,0.88,0.69,30.8,1.151
0.18,0.86,0.71,30.8,1.151
0.14,0.84,0.71,30.8,1.151
0.13,0.84,0.66,30.8,1.144
0.16,0.85,0.67,30.8,1.144
0.16,0.85,0.7,30.8,1.144
0.17,0.82,0.73,30.8,1.151
0.18,0.82,0.74,30.8,1.144
0.2,0.81,0.75,30.8,1.14
0.22,0.81,0.74,30.8,1.141
0.25,0.81,0.74,30.8,1.141
0.28,0.81,0.74,30.8,1.14
0.29,0.8,0.71,30.8,1.137
0.3,0.79,0.67,30.8,1.144
0.39,0.92,0.65,30.8,1.137
0.39,0.85,0.66,30.8,1.141
0.37,0.78,0.64,30.8,1.141
0.34,0.8,0.69,30.8,1.141
