File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 14:01:27 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
-0.4,0.22,-0.47,31.2,1.345
-0.85,-0.06,-0.76,31.2,1.345
-0.83,-0.02,-1,31.2,1.349
-0.4,0.33,-0.89,31.4,1.357
-0.2,0.48,-0.72,31.2,1.357
-0.27,0.43,-0.71,31.4,1.357
-0.31,0.46,-0.68,31.2,1.357
-0.37,0.41,-0.71,31.2,1.357
-0.39,0.37,-0.65,31.2,1.357
-0.36,0.45,-0.65,31.2,1.357
-0.39,0.42,-0.69,31.2,1.362
-0.32,0.45,-0.66,31.2,1.349
-0.41,0.38,-0.67,31.2,1.345
-0.52,0.39,-0.63,31.2,1.345
-0.59,0.64,-0.82,31.2,1.345
-0.26,0.98,-0.54,31.2,1.35
-0.1,1.12,-0.01,31.2,1.345
-0.07,1.18,-0.09,31.2,1.345
0.08,0.5,-0.1,31.2,1.349
0,0.43,-0.6,31.2,1.345
-0.26,0.2,-0.64,31.2,1.345
-0.6,0.12,-0.79,31.2,1.345
-0.35,0.35,-0.94,31.2,1.345
-0.07,0.53,-0.68,31.4,1.345
0,0.58,-0.64,31.2,1.345
-0.12,0.59,-0.69,31.2,1.35
-0.2,0.48,-0.61,31.2,1.334
-0.25,0.32,-0.47,31.2,1.334
-0.51,0.24,-0.69,31.2,1.334
-0.76,-0.14,-0.83,31.2,1.334
-0.86,0.95,-0.76,31.2,1.334
-0.45,0.65,-0.5,31.2,1.334
-0.25,1.34,-0.51,31.2,1.334
-0.31,1.01,-0.16,31.2,1.334
-0.34,0.88,-0.26,31.4,1.334
-0.25,0.57,-0.6,31.2,1.334
-0.3,0.46,-0.77,31.2,1.334
-0.4,0.2,-0.49,31.2,1.334
-0.48,0.04,-0.74,31.4,1.334
-0.36,0.19,-0.76,31.2,1.339
-0.22,0.32,-0.73,31.2,1.334
-0.14,0.47,-0.71,31.2,1.334
-0.18,0.48,-0.69,31.2,1.334
-0.2,0.56,-0.72,31.2,1.334
-0.21,0.55,-0.72,31.2,1.334
-0.22,0.5,-0.69,31.2,1.326
-0.2,0.5,-0.66,31.2,1.323
-0.2,0.49,-0.72,31.2,1.323
-0.24,0.47,-0.67,31.2,1.331
-0.22,0.47,-0.68,31.2,1.331
-0.23,0.48,-0.67,31.2,1.323
-0.25,0.35,-0.63,31.2,1.323
-0.56,0.01,-0.79,31.2,1.323
-0.64,0.15,-0.58,31.2,1.323
-0.41,0.77,-0.63,31.2,1.323
-0.53,0.39,-0.76,31.2,1.323
-0.53,0.98,-0.64,31.2,1.323
-0.59,0.61,-0.17,31.2,1.323
-0.61,0.5,-0.07,31.2,1.323
-0.58,0.37,-0.04,31.2,1.323
-0.78,0.35,-0.15,31.2,1.323
-1.2,0.5,-0.21,31.2,1.323
-1.38,0.58,-0.02,31.2,1.323
-1.28,0.6,0.08,31.2,1.331
-1.12,0.43,0.05,31.4,1.331
-1,0.47,0.06,31.2,1.334
-0.96,0.49,0.11,31.2,1.334
-1,0.47,0.22,31.2,1.334
-1.1,0.4,0.27,31.2,1.334
-1.14,0.11,0.5,31.2,1.334
-1.16,0.09,0.58,31.2,1.345
-1.21,0.43,0.22,31.2,1.345
-1,0.4,0.21,31.2,1.345
-0.85,0.36,0.08,31.2,1.345
-0.69,0.5,-0.37,31.2,1.337
-0.87,-0.01,0.05,31.2,1.334
-0.93,0.88,0.15,31.2,1.334
-0.84,0.17,0.1,31.2,1.339
-0.86,0.43,0.42,31.2,1.339
-0.76,0.5,-0.09,31.2,1.334
-1.02,0.71,0.24,31.2,1.334
-1.09,0.46,0.15,31.4,1.334
-0.97,0.4,0.25,31.2,1.334
-0.87,0.78,0.2,31.2,1.342
-0.88,0.59,0.3,31.2,1.339
-0.9,0.58,0.3,31.2,1.334
-0.96,0.44,0.17,31.2,1.334
-0.94,0.58,0.26,31.2,1.334
-0.9,0.5,0.33,31.2,1.334
-0.91,0.64,0.1,31.2,1.334
-0.79,0.65,0.33,31.2,1.334
-1.01,0.31,0.62,31.2,1.334
-0.98,0.59,0.19,31.2,1.334
-0.87,0.62,0.08,31.4,1.334
-0.86,0.5,0.11,31.2,1.334
-0.85,0.56,0.15,31.2,1.334
-0.9,0.6,0.04,31.2,1.334
-0.86,0.17,0.08,31.2,1.331
-0.81,0.82,-0.22,31.2,1.334
-0.95,0.3,0.09,31.2,1.331
-1.05,0.5,0.2,31.2,1.334
-1.06,0.59,0.04,31.2,1.331
-1.1,0.79,0.14,31.2,1.316
-0.97,0.65,0.05,31.4,1.292
-0.45,0.02,-0.24,31.2,1.315
-0.33,0.36,-0.38,31.2,1.337
-0.93,0.75,0.33,31.4,1.345
-1.36,0.31,-0.02,31.4,1.349
-1.12,0.7,-0.14,31.4,1.357
-1.04,0.7,0.2,31.2,1.365
-0.67,0.55,0.09,31.2,1.368
-0.91,0.31,0.08,31.2,1.368
-0.94,0.78,0.03,31.2,1.368
-0.73,0.63,0.04,31.2,1.368
-1.03,0.35,0,31.2,1.368
-1.05,0.65,0.15,31.2,1.368
-0.94,0.32,0.18,31.2,1.365
-0.7,0.66,0,31.2,1.365
-0.66,0.72,-0.19,31.2,1.365
-0.62,0.6,0.24,31.2,1.365
-0.66,0.89,-0.13,31.4,1.368
-0.84,0.56,-0.05,31.2,1.38
-1.01,0.46,0,31.4,1.392
-0.95,1.05,-0.01,31.2,1.416
-1.01,0.44,0.27,31.2,1.424
-0.92,0.9,0.47,31.4,1.404
-1.09,0.37,0.71,31.4,1.38
-1.15,0.57,0.41,31.2,1.38
-0.87,0.76,-0.13,31.2,1.395
-1.09,-0.64,1.06,31.2,1.404
-0.91,0.92,0.27,31.2,1.416
-0.73,0.56,0.05,31.2,1.431
-0.89,0.22,0.28,31.2,1.44
-1.03,0.39,0.01,31.2,1.44
-0.95,0.56,0.22,31.2,1.44
-0.94,0.52,0.19,31.2,1.448
-0.97,0.26,-0.31,31.2,1.452
-0.81,0.46,-0.29,31.2,1.468
-1.11,0.45,0.27,31.2,1.476
-1.08,0.14,0.12,31.2,1.464
-1.04,0.43,0.18,31.2,1.464
-1.03,1,0.5,31.2,1.464
-0.91,0.85,0.54,31.2,1.476
-0.74,0.84,0.26,31.2,1.476
-0.88,0.5,0.42,31.2,1.476
-0.84,0.47,0.39,31.2,1.485
-0.63,0.76,0.38,31.2,1.489
-0.62,0.72,0.37,31.2,1.501
-0.62,0.88,0.25,31.2,1.514
-0.41,1.01,0.31,31.2,1.517
-0.35,1.1,0.25,31.2,1.527
-0.29,1.12,0.22,31.2,1.539
-0.2,1.07,0.41,31.2,1.552
-0.16,1.1,0.23,31.2,1.565
-0.03,0.93,0.27,31.2,1.578
0.02,1.01,0.01,31.4,1.591
0.23,1.11,-0.04,31.2,1.605
0.46,0.94,-0.13,31.2,1.614
0.67,0.63,-0.09,31.2,1.628
0.77,0.67,0,31.2,1.631
0.73,0.54,0,31.2,1.645
0.87,0.56,0.24,31.4,1.659
0.87,0.6,0.47,31.2,1.669
0.51,0.39,0.62,31.2,1.672
0.49,0.5,0.54,31.2,1.672
0.68,0.25,0.57,31.2,1.686
0.71,0.39,0.75,31.2,1.686
0.75,0.28,0.75,31.2,1.7
0.84,0.38,0.49,31.2,1.711
0.71,0.26,0.69,31.2,1.714
0.81,0.35,0.52,31.2,1.729
0.81,0.46,0.59,31.2,1.743
0.8,0.29,0.53,31.2,1.753
0.76,0.39,0.48,31.2,1.753
0.83,0.35,0.69,31.4,1.757
0.72,0.48,0.85,31.2,1.768
0.85,0.43,0.5,31.4,1.772
0.7,0.32,0.62,31.2,1.772
0.61,0.36,0.5,31.2,1.772
0.64,0.42,0.7,31.4,1.776
0.56,0.43,0.43,31.2,1.772
0.69,0.5,0.02,31.2,1.776
0.77,0.57,0.01,31.4,1.786
0.82,0.56,-0.24,31.2,1.782
