File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 14:01:27 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
-0.3,0.98,0.31,31.6,2.625
-0.31,0.98,0.31,31.6,2.638
-0.32,0.95,0.32,31.6,2.608
-0.31,0.98,0.32,31.6,2.608
-0.35,0.95,0.34,31.6,2.608
-0.3,0.97,0.33,31.6,2.608
-0.31,0.98,0.33,31.6,2.608
-0.31,0.98,0.33,31.6,2.608
-0.31,0.97,0.33,31.6,2.608
-0.3,0.97,0.34,31.6,2.608
-0.3,0.98,0.33,31.6,2.62
-0.3,0.97,0.33,31.6,2.603
-0.3,0.97,0.32,31.6,2.608
-0.31,0.98,0.33,31.6,2.62
-0.3,0.97,0.34,31.6,2.603
-0.3,0.98,0.34,31.6,2.616
-0.31,0.96,0.33,31.6,2.608
-0.31,0.98,0.34,31.6,2.608
-0.3,0.97,0.33,31.6,2.608
-0.3,0.97,0.33,31.6,2.608
-0.3,0.97,0.34,31.6,2.608
-0.3,0.98,0.33,31.6,2.608
-0.3,0.97,0.34,31.6,2.62
-0.3,0.97,0.33,31.6,2.625
-0.31,0.98,0.33,31.6,2.608
-0.3,0.97,0.33,31.6,2.608
-0.3,0.98,0.33,31.6,2.625
-0.3,0.97,0.33,31.6,2.625
-0.31,0.97,0.33,31.6,2.625
-0.3,0.98,0.33,31.6,2.625
-0.3,0.97,0.34,31.6,2.63
-0.3,0.98,0.33,31.6,2.63
-0.3,0.97,0.33,31.6,2.63
-0.29,0.98,0.35,31.6,2.63
-0.31,0.97,0.35,31.6,2.63
-0.32,0.97,0.33,31.6,2.642
-0.34,0.97,0.36,31.6,2.63
-0.33,1,0.35,31.6,2.642
-0.32,0.92,0.43,31.6,2.63
-0.24,0.97,0.37,31.6,2.63
-0.3,0.98,0.4,31.6,2.647
-0.29,0.93,0.43,31.6,2.647
-0.28,0.99,0.43,31.6,2.647
-0.23,0.95,0.45,31.6,2.63
-0.26,0.96,0.42,31.6,2.647
-0.28,0.99,0.4,31.6,2.63
-0.28,0.95,0.4,31.6,2.63
-0.26,0.95,0.41,31.6,2.63
-0.27,0.98,0.38,31.6,2.63
-0.23,0.94,0.41,31.6,2.642
-0.33,1.05,0.26,31.6,2.63
-0.29,0.96,0.31,31.6,2.63
-0.28,0.94,0.34,31.6,2.63
-0.27,1,0.32,31.6,2.642
-0.26,1,0.29,31.6,2.63
-0.24,1.01,0.25,31.6,2.63
-0.23,0.97,0.23,31.6,2.642
-0.25,0.99,0.24,31.6,2.63
-0.24,1,0.23,31.6,2.63
-0.27,0.99,0.21,31.6,2.63
-0.24,0.99,0.21,31.6,2.625
-0.27,1.01,0.22,31.6,2.625
-0.23,1,0.2,31.6,2.63
-0.21,0.99,0.17,31.6,2.608
-0.23,1,0.17,31.6,2.63
-0.21,1,0.17,31.6,2.63
-0.21,1.01,0.21,31.6,2.642
-0.19,1,0.2,31.6,2.63
-0.22,1,0.19,31.6,2.63
-0.24,1,0.17,31.6,2.63
-0.24,1.01,0.16,31.6,2.63
-0.24,1,0.18,31.6,2.63
-0.22,1,0.19,31.6,2.63
-0.22,1,0.19,31.6,2.63
-0.23,1,0.18,31.6,2.63
-0.23,1,0.19,31.6,2.625
-0.22,1,0.18,31.6,2.625
-0.23,1,0.18,31.6,2.62
-0.23,1,0.19,31.6,2.63
-0.23,1,0.19,31.6,2.62
-0.23,0.99,0.18,31.6,2.625
-0.23,1,0.19,31.6,2.625
-0.23,1,0.19,31.6,2.625
-0.23,1,0.19,31.6,2.638
-0.23,1,0.19,31.6,2.608
-0.23,1,0.19,31.6,2.625
-0.23,1,0.19,31.6,2.625
-0.23,1,0.19,31.6,2.625
-0.23,1,0.19,31.6,2.625
-0.22,1,0.19,31.6,2.625
-0.23,1,0.19,31.6,2.608
-0.23,1,0.19,31.6,2.625
-0.23,1,0.19,31.6,2.608
-0.23,1,0.2,31.6,2.608
-0.23,1,0.19,31.6,2.608
-0.23,0.99,0.19,31.6,2.62
-0.22,1,0.2,31.6,2.608
-0.23,1,0.19,31.6,2.608
-0.24,1,0.19,31.6,2.625
-0.23,1,0.19,31.6,2.608
-0.22,1,0.2,31.6,2.608
-0.23,1,0.19,31.6,2.608
-0.23,1,0.19,31.6,2.625
-0.22,1,0.19,31.6,2.62
-0.23,1,0.19,31.6,2.608
-0.22,1,0.19,31.6,2.608
-0.23,1,0.19,31.6,2.608
-0.23,1,0.18,31.6,2.625
-0.23,1,0.19,31.6,2.625
-0.23,1,0.19,31.6,2.625
-0.23,1,0.18,31.6,2.625
-0.23,1,0.19,31.6,2.63
-0.23,1,0.18,31.6,2.63
-0.22,1,0.18,31.6,2.63
-0.23,1,0.18,31.6,2.63
-0.23,1,0.18,31.6,2.625
-0.24,1,0.18,31.6,2.63
-0.22,1,0.18,31.6,2.63
-0.22,1,0.18,31.6,2.63
-0.22,1,0.18,31.6,2.63
-0.22,1,0.17,31.6,2.63
-0.22,1,0.18,31.6,2.625
-0.23,1,0.18,31.6,2.63
-0.22,1,0.18,31.6,2.63
-0.23,1,0.19,31.6,2.63
-0.22,1,0.19,31.6,2.63
-0.23,1,0.18,31.6,2.613
-0.22,1,0.17,31.6,2.625
-0.22,1,0.18,31.6,2.625
-0.22,1,0.18,31.6,2.625
-0.23,1,0.18,31.6,2.63
-0.22,1,0.18,31.6,2.63
-0.23,1,0.19,31.6,2.625
-0.22,1,0.18,31.6,2.625
-0.23,1,0.18,31.6,2.625
-0.23,1,0.19,31.6,2.625
-0.22,1,0.18,31.6,2.63
-0.22,1,0.18,31.6,2.625
-0.23,0.99,0.18,31.6,2.625
-0.22,1,0.18,31.6,2.638
-0.22,1,0.18,31.6,2.625
-0.22,1,0.19,31.6,2.62
-0.23,1,0.18,31.6,2.608
-0.23,1,0.18,31.6,2.625
-0.22,1,0.19,31.6,2.608
-0.23,1,0.17,31.6,2.608
-0.22,1,0.18,31.6,2.62
-0.22,1,0.18,31.6,2.608
-0.22,1,0.19,31.6,2.608
-0.23,1,0.18,31.6,2.608
-0.23,1,0.19,31.6,2.608
-0.22,1,0.18,31.6,2.62
-0.22,1,0.18,31.6,2.608
-0.22,1,0.18,31.6,2.62
-0.23,1,0.18,31.6,2.608
-0.23,1,0.18,31.6,2.603
-0.23,1,0.18,31.6,2.603
-0.23,1,0.18,31.6,2.608
-0.23,1,0.19,31.6,2.603
-0.22,1,0.17,31.6,2.603
-0.22,0.99,0.17,31.6,2.603
-0.22,1,0.17,31.6,2.608
-0.23,1,0.16,31.6,2.603
-0.23,0.99,0.17,31.6,2.603
-0.22,1,0.17,31.6,2.608
-0.22,1,0.17,31.6,2.603
-0.22,1,0.16,31.6,2.62
-0.22,1,0.16,31.6,2.603
-0.23,1,0.17,31.6,2.608
-0.22,1,0.17,31.6,2.603
-0.22,1,0.17,31.6,2.603
-0.23,1,0.17,31.6,2.603
-0.22,1,0.18,31.6,2.603
-0.22,1,0.17,31.6,2.603
-0.22,1,0.17,31.6,2.603
-0.23,1,0.17,31.6,2.603
-0.23,1,0.17,31.6,2.603
-0.22,1,0.17,31.6,2.616
-0.23,1,0.17,31.6,2.603
-0.23,1,0.17,31.6,2.586
-0.23,1,0.17,31.6,2.603
-0.22,1,0.17,31.6,2.586
-0.22,1,0.18,31.6,2.586
-0.23,1,0.17,31.6,2.586
-0.22,1,0.17,31.6,2.586
-0.23,1,0.17,31.6,2.603
-0.22,1,0.17,31.6,2.599
-0.22,1,0.18,31.6,2.586
-0.22,1,0.17,31.6,2.586
-0.22,1,0.18,31.6,2.586
-0.22,1,0.17,31.6,2.586
-0.23,1,0.17,31.6,2.586
-0.22,1,0.17,31.6,2.582
-0.23,1,0.17,31.6,2.586
-0.23,1,0.17,31.6,2.582
-0.22,1,0.17,31.6,2.582
-0.23,1,0.17,31.6,2.582
-0.23,1,0.18,31.6,2.582
-0.22,1,0.17,31.8,2.582
-0.22,1,0.18,31.6,2.582
-0.23,1,0.17,31.6,2.582
-0.23,1,0.17,31.6,2.582
-0.22,1,0.18,31.6,2.582
-0.22,1,0.18,31.6,2.582
-0.23,1,0.18,31.6,2.594
-0.23,1,0.18,31.6,2.582
-0.23,1,0.17,31.6,2.582
-0.23,1,0.18,31.6,2.582
-0.23,1,0.18,31.6,2.582
-0.22,1,0.18,31.6,2.582
-0.22,1,0.17,31.6,2.594
-0.22,1,0.18,31.6,2.594
-0.22,1,0.18,31.6,2.582
-0.22,1,0.17,31.6,2.582
-0.22,1,0.17,31.6,2.582
-0.22,1,0.17,31.6,2.582
-0.22,1,0.17,31.6,2.582
-0.23,1,0.17,31.6,2.582
-0.23,1,0.18,31.6,2.582
-0.22,1,0.17,31.6,2.582
-0.21,1,0.18,31.6,2.565
-0.22,1,0.18,31.6,2.582
-0.22,1,0.17,31.6,2.582
-0.24,1,0.17,31.6,2.577
-0.22,1,0.19,31.8,2.565
-0.22,1,0.18,31.6,2.582
-0.23,1,0.18,31.6,2.565
-0.23,1,0.19,31.6,2.565
-0.22,1,0.18,31.6,2.582
-0.22,1,0.18,31.6,2.582
-0.22,1,0.17,31.6,2.565
-0.22,1,0.18,31.6,2.565
-0.22,1,0.18,31.6,2.565
-0.22,1,0.18,31.6,2.565
-0.22,1,0.18,31.6,2.565
-0.22,1,0.18,31.6,2.565
-0.22,1,0.18,31.6,2.565
-0.23,1,0.18,31.6,2.565
-0.22,1,0.19,31.6,2.565
-0.22,1,0.19,31.6,2.565
-0.22,1,0.18,31.6,2.565
-0.22,1,0.18,31.6,2.577
-0.22,1,0.18,31.6,2.565
-0.23,1,0.19,31.6,2.565
-0.22,1,0.18,31.6,2.565
-0.23,1,0.19,31.6,2.577
-0.22,1,0.19,31.6,2.565
-0.23,1,0.19,31.6,2.565
-0.23,1,0.18,31.6,2.565
-0.22,1,0.18,31.6,2.565
-0.23,1,0.18,31.6,2.565
-0.23,1,0.19,31.6,2.565
-0.23,1,0.19,31.6,2.565
-0.23,1,0.19,31.6,2.565
-0.23,1,0.18,31.6,2.565
-0.23,1,0.19,31.6,2.565
-0.22,1,0.19,31.6,2.565
-0.23,1,0.18,31.6,2.565
-0.23,1,0.18,31.6,2.565
-0.23,1,0.19,31.6,2.565
-0.22,1,0.19,31.6,2.565
-0.23,1,0.19,31.6,2.565
-0.23,1,0.2,31.6,2.565
-0.23,1,0.18,31.6,2.565
-0.23,1,0.2,31.6,2.565
-0.23,1,0.19,31.6,2.565
-0.22,1,0.18,31.6,2.565
-0.23,1,0.18,31.6,2.548
-0.22,1,0.19,31.6,2.577
-0.23,1,0.18,31.6,2.56
-0.22,1,0.18,31.6,2.577
-0.23,1,0.18,31.6,2.565
-0.23,1,0.18,31.6,2.548
-0.22,1,0.18,31.6,2.565
